HJD,V_mag
2454437.5956,4.3136
2454439.5928,3.669
2454440.5858,3.9369
2454447.5794,4.2614
2454449.5797,3.4627
2454450.5797,3.7435
2454452.6001,4.1927
2454454.5902,3.6357
2454458.6295,4.321
2454459.6007,4.0087
2454460.6012,3.5319
2454465.5856,3.4726
2454466.586,3.7179
2454623.9115,4.0934
2454624.9073,4.2869
2454625.9096,4.0377
2454626.9007,3.5028
2454628.8954,4.0524
2454630.8915,4.2666
2454631.8927,3.4735
2454634.8826,4.1342
2454636.8754,3.8125
2454637.9466,3.5949
2454638.8721,3.8548
2454640.8664,4.2744
2455098.6395,3.5439
2455098.8061,3.4698
2455099.6796,3.6712
2455099.8098,3.7231
2455100.6797,3.9503
2455100.8049,3.9894
2455101.8009,4.1662
2455102.6697,4.3076
2455102.7986,4.3196
2455106.7864,4.0959
2455131.7559,3.64
2455133.7727,4.1171
2455134.781,4.3066
2455135.7811,3.971
2455136.7802,3.5396
2455143.7567,3.9866
2455144.7438,4.1803
2455145.7524,4.323
2455146.7367,3.7385
2455151.7214,4.1278
2455468.8625,3.588
2455469.8524,3.6395
2455470.8496,3.9216
2455471.8477,4.1325
2455476.8328,4.0543
2455477.8317,4.2534
2455478.8278,4.2579
2455479.8259,3.4598
2455480.8224,3.718
2455481.8206,3.9785
2455482.8167,4.1735
2455488.8022,4.2813
2455492.8071,4.0341
2455493.7961,4.2234
2455495.7963,3.508
2455498.7913,4.1397
2455499.7861,4.3109
2455501.7758,3.5584
2455502.7736,3.8492
2455503.7704,4.0703
2455504.7676,4.2629
2455506.7656,3.4644
2455508.7576,4.0027
2455510.7523,4.3192
2455511.7498,3.6148
2455512.7463,3.6349
2455513.7465,3.913
2455515.7439,4.2962
2455516.7381,4.0154
2455532.6062,4.1985
2455532.6853,4.148
2455533.594,3.4631
2455862.6718,3.9454
2455865.6113,3.9479
2455866.5962,3.5297
2455867.5955,3.8237
2455868.595,4.0575
2455881.5651,4.0841
2455881.58,4.0662
2455881.5948,4.0545
2455881.6097,4.0402
2455881.6246,4.0255
2455881.6395,4.0084
2455881.6541,3.9959
2455881.6687,3.9808
2455881.6833,3.9622
2455881.698,3.9496
2455881.7127,3.9351
2455881.7274,3.9171
2455882.7387,3.5467
2455888.7209,3.7327
2455892.6969,3.6782
2455893.7074,3.6233
2455900.6875,4.0396
2455911.661,4.0806
2455912.6203,4.2621
2455919.5649,3.6346
2455919.5816,3.6206
2455919.5946,3.603
2455919.6068,3.5938
2455919.6215,3.5778
2455922.636,4.127
2455926.6211,3.8209
2455927.6223,4.0375
2455931.6091,3.7166
